Title,Link,Date,Medium,Dimensions,Object Number,Credit Line
The Rest on the Flight into Egypt,http://onlinecollection.nationalgallery.ie/objects/2970/the-rest-on-the-flight-into-egypt?ctx=c9744452-5dbf-4c44-aed0-853f0028da73&idx=640,17th century,Oil on canvas,150 x 105 cm,NGI.1527,"Presented, Sir Alfred Chester Beatty, 1954"
Saint Mary of Egypt,http://onlinecollection.nationalgallery.ie/objects/2971/saint-mary-of-egypt?ctx=c9744452-5dbf-4c44-aed0-853f0028da73&idx=641,late 16th century,Oil on canvas,163 x 113 cm,NGI.1528,"Presented, Sir Alfred Chester Beatty, 1954"
Village Festival,http://onlinecollection.nationalgallery.ie/objects/2972/village-festival?ctx=c9744452-5dbf-4c44-aed0-853f0028da73&idx=642,1640s,Oil on wood panel,59 x 92.8 cm,NGI.1529,"Presented, Sir Alfred Chester Beatty, 1954"
A Vine Pergola at Capri,http://onlinecollection.nationalgallery.ie/objects/2973/a-vine-pergola-at-capri?ctx=c9744452-5dbf-4c44-aed0-853f0028da73&idx=643,1866,Oil on canvas,56 x 75 cm,NGI.153,"Purchased, 1873"
The Burning of the 'Philadelphia',http://onlinecollection.nationalgallery.ie/objects/2974/the-burning-of-the-philadelphia?ctx=c9744452-5dbf-4c44-aed0-853f0028da73&idx=644,N/A,Oil on canvas,67 x 55 cm,NGI.1530,"Presented, Sir Alfred Chester Beatty, 1953"
Ruins with Figures,http://onlinecollection.nationalgallery.ie/objects/2975/ruins-with-figures?ctx=c9744452-5dbf-4c44-aed0-853f0028da73&idx=645,N/A,Oil on canvas,71 x 98 cm,NGI.1531,"Presented, Sir Alfred Chester Beatty, 1954"
A Camel Caravan,http://onlinecollection.nationalgallery.ie/objects/2976/a-camel-caravan?ctx=c9744452-5dbf-4c44-aed0-853f0028da73&idx=646,N/A,Oil on canvas,61 x 91 cm,NGI.1532,"Presented, Sir Alfred Chester Beatty, 1954"
Portrait of Cardinal Roberto de Nobili (1541-1559),http://onlinecollection.nationalgallery.ie/objects/2977/portrait-of-cardinal-roberto-de-nobili-15411559?ctx=c9744452-5dbf-4c44-aed0-853f0028da73&idx=647,16th century,Oil on canvas,88 x 68 cm,NGI.1533,"Presented, Sir Alfred Chester Beatty, 1954"
The Sea and a Low Sky,http://onlinecollection.nationalgallery.ie/objects/2978/the-sea-and-a-low-sky?ctx=c9744452-5dbf-4c44-aed0-853f0028da73&idx=648,N/A,Oil on board,22 x 50 cm,NGI.1534,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
"Sunset, a Darkening Tree",http://onlinecollection.nationalgallery.ie/objects/2979/sunset-a-darkening-tree?ctx=c9744452-5dbf-4c44-aed0-853f0028da73&idx=649,N/A,Oil on board,32 x 43 cm,NGI.1535,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
