Title,Link,Date,Medium,Dimensions,Object Number,Credit Line
The Western Family,http://onlinecollection.nationalgallery.ie/objects/11130/the-western-family?ctx=5bac71b2-796c-4d02-878b-9d2ee7b91e1e&idx=2439,1738,Oil on canvas,72 x 84 cm,NGI.792,"Bequeathed, Sir Hugh Lane, 1918"
Portrait of Mrs King (née Spence),http://onlinecollection.nationalgallery.ie/objects/11141/portrait-of-mrs-king-nee-spence?ctx=3cc1e0b5-e5b2-4b3c-a575-ef61a3664afb&idx=2440,N/A,Oil on canvas,75 x 62 cm,NGI.793,"Bequeathed, Sir Hugh Lane, 1918"
General James Johnston (1721-1797),http://onlinecollection.nationalgallery.ie/objects/11150/general-james-johnston-17211797?ctx=3cc1e0b5-e5b2-4b3c-a575-ef61a3664afb&idx=2441,c.1763,Oil on canvas,N/A,NGI.794,"Bequeathed, Sir Hugh Lane, 1918"
"Portrait of Mrs Christopher Horton (1743-1808), later Duchess of Cumberland",http://onlinecollection.nationalgallery.ie/objects/11161/portrait-of-mrs-christopher-horton-17431808-later-duches?ctx=3cc1e0b5-e5b2-4b3c-a575-ef61a3664afb&idx=2442,1766,Oil on canvas,75 x 62 cm,NGI.795,"Bequeathed, Sir Hugh Lane, 1918"
Landscape with Cattle,http://onlinecollection.nationalgallery.ie/objects/11172/landscape-with-cattle?ctx=3cc1e0b5-e5b2-4b3c-a575-ef61a3664afb&idx=2443,c.1767,Oil on canvas,128 x 99 cm,NGI.796,"Bequeathed, Sir Hugh Lane, 1918"
Lady and Child,http://onlinecollection.nationalgallery.ie/objects/11183/lady-and-child?ctx=3cc1e0b5-e5b2-4b3c-a575-ef61a3664afb&idx=2444,1745,Oil on canvas,130 x 104 cm,NGI.797,"Bequeathed, Sir Hugh Lane, 1918"
Portrait of a Child with a Dog,http://onlinecollection.nationalgallery.ie/objects/11194/portrait-of-a-child-with-a-dog?ctx=3cc1e0b5-e5b2-4b3c-a575-ef61a3664afb&idx=2445,N/A,Oil on canvas,74 x 95 cm,NGI.798,"Bequeathed, Sir Hugh Lane, 1918"
"A Still Life: Two Rabbits, a Grey Partridge, Game Bag and a Powder Flask",http://onlinecollection.nationalgallery.ie/objects/11205/a-still-life-two-rabbits-a-grey-partridge-game-bag-and-a?ctx=3cc1e0b5-e5b2-4b3c-a575-ef61a3664afb&idx=2446,1731,Oil on canvas,82.5 x 65 cm,NGI.799,"Bequeathed, Sir Hugh Lane, 1918"
Prince Maurits and Prince Frederik Hendrik Going to the Chase,http://onlinecollection.nationalgallery.ie/objects/11216/prince-maurits-and-prince-frederik-hendrik-going-to-the-chas?ctx=3cc1e0b5-e5b2-4b3c-a575-ef61a3664afb&idx=2447,1625,Oil on wood panel,35.1 x 55.9 x 0.5 cm,NGI.8,"Purchased, 1864"
Saint Bartholomew,http://onlinecollection.nationalgallery.ie/objects/11217/saint-bartholomew?ctx=3cc1e0b5-e5b2-4b3c-a575-ef61a3664afb&idx=2448,c.1605,Oil on canvas,173 x 76 cm,NGI.80,"Purchased, 1863"
The Childhood of Bacchus,http://onlinecollection.nationalgallery.ie/objects/11218/the-childhood-of-bacchus?ctx=3cc1e0b5-e5b2-4b3c-a575-ef61a3664afb&idx=2449,c.1630,Oil on canvas,163 x 140 cm,NGI.800,"Bequeathed, Sir Hugh Lane, 1918"
A Musical Party (Le Conteur),http://onlinecollection.nationalgallery.ie/objects/11229/a-musical-party-le-conteur?ctx=3cc1e0b5-e5b2-4b3c-a575-ef61a3664afb&idx=2450,N/A,Oil on canvas,40 x 32 cm,NGI.801,"Bequeathed, Sir Hugh Lane, 1918"
La Malice (Mischief),http://onlinecollection.nationalgallery.ie/objects/11240/la-malice-mischief?ctx=3cc1e0b5-e5b2-4b3c-a575-ef61a3664afb&idx=2451,c.1735,Oil on canvas,36 x 29 cm,NGI.802,"Bequeathed, Sir Hugh Lane, 1918"
The Capuchin Doll,http://onlinecollection.nationalgallery.ie/objects/11250/the-capuchin-doll?ctx=3cc1e0b5-e5b2-4b3c-a575-ef61a3664afb&idx=2452,N/A,Oil on canvas,43 x 37 cm,NGI.803,"Bequeathed, Sir Hugh Lane, 1918"
Portrait of a Man,http://onlinecollection.nationalgallery.ie/objects/11261/portrait-of-a-man?ctx=3cc1e0b5-e5b2-4b3c-a575-ef61a3664afb&idx=2453,1526/1529,Oil on wood panel,50.5 x 36.9 cm,NGI.804,"Bequeathed, Sir Hugh Lane, 1918"
Interior of a Protestant Classical Church,http://onlinecollection.nationalgallery.ie/objects/11271/interior-of-a-protestant-classical-church?ctx=3cc1e0b5-e5b2-4b3c-a575-ef61a3664afb&idx=2454,1669,Oil on canvas,127 x 135 cm,NGI.805,"Bequeathed, Sir Hugh Lane, 1918"
Man Aged Twenty Tuning a Violin,http://onlinecollection.nationalgallery.ie/objects/11282/man-aged-twenty-tuning-a-violin?ctx=3cc1e0b5-e5b2-4b3c-a575-ef61a3664afb&idx=2455,1645,Oil on wood panel,52.5 x 42 cm,NGI.806,"Bequeathed, Sir Hugh Lane, 1918"
View of Rhenen,http://onlinecollection.nationalgallery.ie/objects/11293/view-of-rhenen?ctx=3cc1e0b5-e5b2-4b3c-a575-ef61a3664afb&idx=2456,1644,Oil on wood panel,64 x 94 cm,NGI.807,"Bequeathed, Sir Hugh Lane, 1918"
Portrait of a Lady Holding a Glove,http://onlinecollection.nationalgallery.ie/objects/11304/portrait-of-a-lady-holding-a-glove?ctx=3cc1e0b5-e5b2-4b3c-a575-ef61a3664afb&idx=2457,1632-1633,Oil on canvas,72 x 62 cm,NGI.808,"Bequeathed, Sir Hugh Lane, 1918"
A Boy Standing on a Terrace,http://onlinecollection.nationalgallery.ie/objects/11314/a-boy-standing-on-a-terrace?ctx=3cc1e0b5-e5b2-4b3c-a575-ef61a3664afb&idx=2458,c.1623-1627,Oil on canvas,188.3 x 125.3 cm,NGI.809,"Bequeathed, Sir Hugh Lane, 1918"
The Rape of Europa,http://onlinecollection.nationalgallery.ie/objects/11325/the-rape-of-europa?ctx=3cc1e0b5-e5b2-4b3c-a575-ef61a3664afb&idx=2459,c.1680-1685,Oil on canvas,248 x 424 cm,NGI.81,"Purchased, 1856"
Portrait of a Lady,http://onlinecollection.nationalgallery.ie/objects/11326/portrait-of-a-lady?ctx=7a34e089-f8b2-4d01-ad8e-ad05cdda3689&idx=2460,1644,Oil on canvas,97.5 x 74.5 cm,NGI.810,"Bequeathed, Sir Hugh Lane, 1918"
A Banquet Piece,http://onlinecollection.nationalgallery.ie/objects/11337/a-banquet-piece?ctx=7a34e089-f8b2-4d01-ad8e-ad05cdda3689&idx=2461,late 1620s,Oil on canvas,92.3 x 156.1 cm,NGI.811,"Bequeathed, Sir Hugh Lane, 1918"
The Adoration of the Magi,http://onlinecollection.nationalgallery.ie/objects/11347/the-adoration-of-the-magi?ctx=7a34e089-f8b2-4d01-ad8e-ad05cdda3689&idx=2462,c.1520-35,Oil on panel,93 x 93 cm,NGI.812,"Bequeathed, Sir Hugh Lane, 1918"
The Schoolmistress,http://onlinecollection.nationalgallery.ie/objects/11358/the-schoolmistress?ctx=7a34e089-f8b2-4d01-ad8e-ad05cdda3689&idx=2463,c.1735,Oil on canvas,62 x 73 cm,NGI.813,"Bequeathed, Sir Hugh Lane, 1918"
Acis and Galatea,http://onlinecollection.nationalgallery.ie/objects/11369/acis-and-galatea?ctx=7a34e089-f8b2-4d01-ad8e-ad05cdda3689&idx=2464,1627-1628,Oil on canvas,98 x 137 cm,NGI.814,"Bequeathed, Sir Hugh Lane, 1918"
Pluto and Proserpine,http://onlinecollection.nationalgallery.ie/objects/11380/pluto-and-proserpine?ctx=7a34e089-f8b2-4d01-ad8e-ad05cdda3689&idx=2465,late 16th century,Oil on canvas,58 x 75 cm,NGI.815,"Bequeathed, Sir Hugh Lane, 1918"
Nymph and Satyr,http://onlinecollection.nationalgallery.ie/objects/11391/nymph-and-satyr?ctx=7a34e089-f8b2-4d01-ad8e-ad05cdda3689&idx=2466,c.1626,Oil on canvas,73 x 59 cm,NGI.816,"Bequeathed, Sir Hugh Lane, 1918"
"Portrait of Woodrow Wilson (1856-1924), American President",http://onlinecollection.nationalgallery.ie/objects/11402/portrait-of-woodrow-wilson-18561924-american-president?ctx=7a34e089-f8b2-4d01-ad8e-ad05cdda3689&idx=2467,1917,Oil on canvas,153 x 109 cm,NGI.817,"Commissioned, the Board of Governors and Guardians, in memory of Sir Hugh Lane, 1917"
Virgin and Child with Saint Anne,http://onlinecollection.nationalgallery.ie/objects/11404/virgin-and-child-with-saint-anne?ctx=7a34e089-f8b2-4d01-ad8e-ad05cdda3689&idx=2468,N/A,Oil on panel,51 x 36 cm,NGI.818,"Purchased, 1918"
Imaginary Landscape,http://onlinecollection.nationalgallery.ie/objects/11412/imaginary-landscape?ctx=7a34e089-f8b2-4d01-ad8e-ad05cdda3689&idx=2469,N/A,Oil on poplar panel,27.5 x 22 cm,NGI.819,"Purchased, 1918"
"Portrait of a Man, probably of the Mazzi Family",http://onlinecollection.nationalgallery.ie/objects/11423/portrait-of-a-man-probably-of-the-mazzi-family?ctx=7a34e089-f8b2-4d01-ad8e-ad05cdda3689&idx=2470,N/A,Oil on canvas,65 x 47 cm,NGI.82,"Purchased, 1867"
"Portrait of John Philpot Curran (1750-1817), Statesman and Lawyer",http://onlinecollection.nationalgallery.ie/objects/11424/portrait-of-john-philpot-curran-17501817-statesman-and-l?ctx=7a34e089-f8b2-4d01-ad8e-ad05cdda3689&idx=2471,c.1809,Oil on canvas,129 x 105 cm,NGI.820,"Presented, Mrs Maffett, 1919"
"Portrait of Edmond Sexton, later 1st Viscount Pery (1719-1806)",http://onlinecollection.nationalgallery.ie/objects/11444/portrait-of-edmond-sexton-later-1st-viscount-pery-1719180?ctx=7a34e089-f8b2-4d01-ad8e-ad05cdda3689&idx=2472,c.1790,Oil on canvas,76 x 63 cm,NGI.822,"Presented, Miss F. Knox, 1919"
Scenes from the Life of Saint Augustine,http://onlinecollection.nationalgallery.ie/objects/11454/scenes-from-the-life-of-saint-augustine?ctx=7a34e089-f8b2-4d01-ad8e-ad05cdda3689&idx=2473,1490s,Oil on oak panel,136.1 x 66.4 cm,NGI.823,"Purchased, 1919 (Lane Fund)"
View of the Devil's Glen,http://onlinecollection.nationalgallery.ie/objects/11473/view-of-the-devils-glen?ctx=7a34e089-f8b2-4d01-ad8e-ad05cdda3689&idx=2474,N/A,Oil on canvas,63.5 x 76 cm,NGI.825,"Presented, Captain R. Langton Douglas, 1919"
The Flight,http://onlinecollection.nationalgallery.ie/objects/11484/the-flight?ctx=7a34e089-f8b2-4d01-ad8e-ad05cdda3689&idx=2475,1917,Oil on canvas,46 x 37 cm,NGI.826,"Presented, Mr M. O'Connor, 1919"
The Virgin Invoking God to Heal the Hand of Pope Leo I,http://onlinecollection.nationalgallery.ie/objects/11495/the-virgin-invoking-god-to-heal-the-hand-of-pope-leo-i?ctx=7a34e089-f8b2-4d01-ad8e-ad05cdda3689&idx=2476,c.1475,Tempera and gold leaf on wood panel,110.8 x 77 cm,NGI.827,"Purchased, 1920"
A Horse,http://onlinecollection.nationalgallery.ie/objects/11506/a-horse?ctx=7a34e089-f8b2-4d01-ad8e-ad05cdda3689&idx=2477,N/A,Oil on canvas,66 x 82 cm,NGI.828,"Purchased, 1920"
Portrait of a Spanish Noblewoman,http://onlinecollection.nationalgallery.ie/objects/11517/portrait-of-a-spanish-noblewoman?ctx=7a34e089-f8b2-4d01-ad8e-ad05cdda3689&idx=2478,c.1620,Oil on canvas,105 x 82 cm,NGI.829,"Purchased, 1920"
Mater Dolorosa,http://onlinecollection.nationalgallery.ie/objects/11528/mater-dolorosa?ctx=7a34e089-f8b2-4d01-ad8e-ad05cdda3689&idx=2479,N/A,Oil on canvas,48 x 37 cm,NGI.83,"Purchased, 1869"
"Portrait of John Doherty (1783-1850), Lawyer and Politician",http://onlinecollection.nationalgallery.ie/objects/11529/portrait-of-john-doherty-17831850-lawyer-and-politician?ctx=6d437e7b-e2c7-4d66-8f24-6dd7c06397ed&idx=2480,1826,Oil on canvas,91 x 71 cm,NGI.830,"Purchased, 1920"
"Portrait of Dora Sigerson (Mrs Shorter) (c.1870-1918), Poet",http://onlinecollection.nationalgallery.ie/objects/11536/portrait-of-dora-sigerson-mrs-shorter-c18701918-poet?ctx=6d437e7b-e2c7-4d66-8f24-6dd7c06397ed&idx=2481,1919,Oil on canvas,75 x 63 cm,NGI.831,"Presented, Mr C. Shorter, 1921"
The Ferry Boat,http://onlinecollection.nationalgallery.ie/objects/11547/the-ferry-boat?ctx=6d437e7b-e2c7-4d66-8f24-6dd7c06397ed&idx=2482,c.1657-1663,Oil on wood panel,27.1 x 31.4 cm,NGI.832,"Purchased, 1921"
Jessie at the Farm,http://onlinecollection.nationalgallery.ie/objects/11558/jessie-at-the-farm?ctx=6d437e7b-e2c7-4d66-8f24-6dd7c06397ed&idx=2483,N/A,Oil on canvas,51 x 38 cm,NGI.833,"Presented, Executors of the late Mrs Torrance, 1921"
An Artist Painting a Portrait,http://onlinecollection.nationalgallery.ie/objects/11569/an-artist-painting-a-portrait?ctx=6d437e7b-e2c7-4d66-8f24-6dd7c06397ed&idx=2484,c.1648,Oil on wood panel,92 x 69.5 cm,NGI.834,"Purchased, 1921"
"A View of the Provost's House, Trinity College, Dublin",http://onlinecollection.nationalgallery.ie/objects/11580/a-view-of-the-provosts-house-trinity-college-dublin?ctx=6d437e7b-e2c7-4d66-8f24-6dd7c06397ed&idx=2485,N/A,Oil on panel,22 x 32 cm,NGI.835,"Purchased, 1921"
"Saint Patrick's Close, Dublin",http://onlinecollection.nationalgallery.ie/objects/11591/saint-patricks-close-dublin?ctx=6d437e7b-e2c7-4d66-8f24-6dd7c06397ed&idx=2486,N/A,Oil on canvas,69 x 51 cm,NGI.836,"Purchased, 1921"
Portrait of Mrs Conyngham,http://onlinecollection.nationalgallery.ie/objects/11612/portrait-of-mrs-conyngham?ctx=6d437e7b-e2c7-4d66-8f24-6dd7c06397ed&idx=2487,N/A,Oil on canvas,127 x 102 cm,NGI.837,"Purchased, 1921"
Portrait of Admiral Ommaney,http://onlinecollection.nationalgallery.ie/objects/11633/portrait-of-admiral-ommaney?ctx=6d437e7b-e2c7-4d66-8f24-6dd7c06397ed&idx=2488,1773,Oil on canvas,76 x 63 cm,NGI.838,"Purchased, 1922"
The Virgin and Child with Saints Jerome and Mary Magdalene,http://onlinecollection.nationalgallery.ie/objects/11648/the-virgin-and-child-with-saints-jerome-and-mary-magdalene?ctx=6d437e7b-e2c7-4d66-8f24-6dd7c06397ed&idx=2489,N/A,Tempera on panel,67 x 43 cm,NGI.839,"Purchased, 1922"
The Supper at Emmaus,http://onlinecollection.nationalgallery.ie/objects/11649/the-supper-at-emmaus?ctx=6d437e7b-e2c7-4d66-8f24-6dd7c06397ed&idx=2490,c.1545,Oil on canvas,163 x 200 cm,NGI.84,"Purchased, 1870"
Saint Ansanus of Siena Baptising the People,http://onlinecollection.nationalgallery.ie/objects/11650/saint-ansanus-of-siena-baptising-the-people?ctx=6d437e7b-e2c7-4d66-8f24-6dd7c06397ed&idx=2491,N/A,Oil on panel,25 x 25 cm,NGI.840,"Purchased, 1922"
The Assumption of Saint Mary Magdalene,http://onlinecollection.nationalgallery.ie/objects/11651/the-assumption-of-saint-mary-magdalene?ctx=6d437e7b-e2c7-4d66-8f24-6dd7c06397ed&idx=2492,1380s,Tempera and gold leaf on wood panel,N/A,NGI.841,"Purchased, 1922 (Lane Fund)"
The Virgin Adoring the Child,http://onlinecollection.nationalgallery.ie/objects/11652/the-virgin-adoring-the-child?ctx=6d437e7b-e2c7-4d66-8f24-6dd7c06397ed&idx=2493,N/A,Oil on panel,78 x 58 cm,NGI.842,"Purchased, 1922"
"Portrait of William Mulready (1796-1863), Artist",http://onlinecollection.nationalgallery.ie/objects/11653/portrait-of-william-mulready-17961863-artist?ctx=6d437e7b-e2c7-4d66-8f24-6dd7c06397ed&idx=2494,c.1833,Oil on panel,30 x 25 cm,NGI.843,"Purchased, 1922"
"Portrait of William Collins (1788-1847), Artist",http://onlinecollection.nationalgallery.ie/objects/11654/portrait-of-william-collins-17881847-artist?ctx=6d437e7b-e2c7-4d66-8f24-6dd7c06397ed&idx=2495,N/A,Oil on panel,30 x 25 cm,NGI.844,"Purchased, 1922"
The Meeting of Rebecca and Abraham's Servant at the Well of Nahor,http://onlinecollection.nationalgallery.ie/objects/11655/the-meeting-of-rebecca-and-abrahams-servant-at-the-well-of?ctx=6d437e7b-e2c7-4d66-8f24-6dd7c06397ed&idx=2496,c.1560-1570,Oil on poplar panel,61.5 x 93.7 cm,NGI.845,"Presented, 1923"
The Pietà,http://onlinecollection.nationalgallery.ie/objects/11656/the-pieta?ctx=6d437e7b-e2c7-4d66-8f24-6dd7c06397ed&idx=2497,N/A,Oil on canvas,97 x 107 cm,NGI.846,"Purchased, 1923"
Brazilian Landscape,http://onlinecollection.nationalgallery.ie/objects/11657/brazilian-landscape?ctx=6d437e7b-e2c7-4d66-8f24-6dd7c06397ed&idx=2498,1660s,Oil on wood panel,48.3 x 62.2 cm,NGI.847,"Presented, Captain R. Langton Douglas, 1923"
Landscape,http://onlinecollection.nationalgallery.ie/objects/11658/landscape?ctx=6d437e7b-e2c7-4d66-8f24-6dd7c06397ed&idx=2499,c.1800,Oil on canvas,57 x 83 cm,NGI.848,"Purchased, 1923"
Four Franciscan Monks,http://onlinecollection.nationalgallery.ie/objects/11659/four-franciscan-monks?ctx=1b8e3cad-7487-46fd-b329-6ce5fd5ba0e1&idx=2500,c.1647-1648,Oil on canvas,71.7 x 95.5 cm,NGI.849,"Purchased, 1923"
Repose,http://onlinecollection.nationalgallery.ie/objects/11660/repose?ctx=1b8e3cad-7487-46fd-b329-6ce5fd5ba0e1&idx=2501,1867,Oil on canvas,51 x 42 cm,NGI.85,"Purchased, 1878"
A Dutch Yacht with Fishing Boats off a Jetty,http://onlinecollection.nationalgallery.ie/objects/11661/a-dutch-yacht-with-fishing-boats-off-a-jetty?ctx=1b8e3cad-7487-46fd-b329-6ce5fd5ba0e1&idx=2502,1690,Oil on panel,38.2 x 46.8 cm,NGI.850,"Purchased, 1923"
"Portrait of Anna Maria Hall (1800-1881), Writer",http://onlinecollection.nationalgallery.ie/objects/11662/portrait-of-anna-maria-hall-18001881-writer?ctx=1b8e3cad-7487-46fd-b329-6ce5fd5ba0e1&idx=2503,1851,Oil on canvas,88 x 61 cm,NGI.851,"Purchased, 1924"
Argenteuil Basin with a Single Sailboat,http://onlinecollection.nationalgallery.ie/objects/11663/argenteuil-basin-with-a-single-sailboat?ctx=1b8e3cad-7487-46fd-b329-6ce5fd5ba0e1&idx=2504,1874,Oil on canvas,55 x 65 cm,NGI.852,"Bequeathed, Edward Martyn, 1924"
Willows,http://onlinecollection.nationalgallery.ie/objects/11664/willows?ctx=1b8e3cad-7487-46fd-b329-6ce5fd5ba0e1&idx=2505,c.1860,Oil on panel,11 x 23 cm,NGI.853,"Bequeathed, Edward Martyn, 1924"
"Cheyne Walk, Chelsea",http://onlinecollection.nationalgallery.ie/objects/11665/cheyne-walk-chelsea?ctx=1b8e3cad-7487-46fd-b329-6ce5fd5ba0e1&idx=2506,N/A,Oil on canvas,70 x 91 cm,NGI.854,"Presented, Sir Alec Martin, 1924"
An Irish Piper,http://onlinecollection.nationalgallery.ie/objects/11666/an-irish-piper?ctx=1b8e3cad-7487-46fd-b329-6ce5fd5ba0e1&idx=2507,c.1843,Oil on canvas,61 x 51 cm,NGI.855,"Bequeathed, Mr T. Bridgford, 1924"
Allegory of Spring and Summer,http://onlinecollection.nationalgallery.ie/objects/11667/allegory-of-spring-and-summer?ctx=1b8e3cad-7487-46fd-b329-6ce5fd5ba0e1&idx=2508,late 1630s,Oil on canvas,72 x 128 cm,NGI.856,"Purchased, 1924 (Lane Fund)"
'The Masquerader' (A Self-Portrait),http://onlinecollection.nationalgallery.ie/objects/11668/the-masquerader-a-selfportrait?ctx=1b8e3cad-7487-46fd-b329-6ce5fd5ba0e1&idx=2509,N/A,Oil on canvas,74 x 61 cm,NGI.857,"Bequeathed, Mr T. Bridgford, 1924"
A View of Hastings,http://onlinecollection.nationalgallery.ie/objects/11669/a-view-of-hastings?ctx=1b8e3cad-7487-46fd-b329-6ce5fd5ba0e1&idx=2510,N/A,Oil on canvas,34 x 41 cm,NGI.858,"Presented, Mr E. Huxtable, 1924"
"Portrait of Dr Kuno Meyer (1858-1919), Poet and Scholar",http://onlinecollection.nationalgallery.ie/objects/11670/portrait-of-dr-kuno-meyer-18581919-poet-and-scholar?ctx=1b8e3cad-7487-46fd-b329-6ce5fd5ba0e1&idx=2511,1911,Oil on canvas,91 x 76 cm,NGI.859,"Purchased, 1924"
Portrait of an Unknown Man,http://onlinecollection.nationalgallery.ie/objects/11671/portrait-of-an-unknown-man?ctx=1b8e3cad-7487-46fd-b329-6ce5fd5ba0e1&idx=2512,c.1565,Oil on canvas,119 x 101 cm,NGI.860,"Presented, Executors of the late Sir Claude Phillips, 1925"
The Assumption of the Virgin with Saints Jerome and Francis,http://onlinecollection.nationalgallery.ie/objects/11672/the-assumption-of-the-virgin-with-saints-jerome-and-francis?ctx=1b8e3cad-7487-46fd-b329-6ce5fd5ba0e1&idx=2513,1460s,Tempera on wood panel,190 x 170 cm,NGI.861,"Purchased, 1925 (Lane Fund)"
An Actor between the Muses of Tragedy and Comedy,http://onlinecollection.nationalgallery.ie/objects/11673/an-actor-between-the-muses-of-tragedy-and-comedy?ctx=1b8e3cad-7487-46fd-b329-6ce5fd5ba0e1&idx=2514,1781,Oil on canvas,101.1 x 127 cm,NGI.862,"Purchased, 1925"
Portrait of two Children,http://onlinecollection.nationalgallery.ie/objects/11674/portrait-of-two-children?ctx=1b8e3cad-7487-46fd-b329-6ce5fd5ba0e1&idx=2515,1769,Oil on canvas,98 x 80 cm,NGI.863,"Purchased, 1925"
A Sick Call,http://onlinecollection.nationalgallery.ie/objects/11675/a-sick-call?ctx=1b8e3cad-7487-46fd-b329-6ce5fd5ba0e1&idx=2516,1863,Oil on canvas,63 x 103 cm,NGI.864,"Purchased, 1925"
"Portrait of Chief Justice Charles Kendal Bushe (1767-1843), in his Robes",http://onlinecollection.nationalgallery.ie/objects/11676/portrait-of-chief-justice-charles-kendal-bushe-17671843?ctx=1b8e3cad-7487-46fd-b329-6ce5fd5ba0e1&idx=2517,1828,Oil on canvas,124 x 99 cm,NGI.865,"Purchased, 1925"
Portrait of a Gentleman,http://onlinecollection.nationalgallery.ie/objects/11677/portrait-of-a-gentleman?ctx=1b8e3cad-7487-46fd-b329-6ce5fd5ba0e1&idx=2518,c.1515,Oil on canvas,83 x 71 cm,NGI.866,"Purchased, 1925"
"Portrait of John Foster, Lord Oriel (1740-1828)",http://onlinecollection.nationalgallery.ie/objects/11678/portrait-of-john-foster-lord-oriel-17401828?ctx=1b8e3cad-7487-46fd-b329-6ce5fd5ba0e1&idx=2519,N/A,Oil on canvas,88 x 70 cm,NGI.867,"Purchased, 1925"
Virgin and Child with Annunciation,http://onlinecollection.nationalgallery.ie/objects/11679/virgin-and-child-with-annunciation?ctx=2d91c168-6033-4b9c-a02d-148f07cd39a3&idx=2520,c.1310,Tempera on panel,36 x 27 cm,NGI.868,"Purchased, 1926"
"Portrait of John O'Leary (1830-1907), Nationalist and Journalist",http://onlinecollection.nationalgallery.ie/objects/11680/portrait-of-john-oleary-18301907-nationalist-and-journa?ctx=2d91c168-6033-4b9c-a02d-148f07cd39a3&idx=2521,1904,Oil on canvas,112 x 87 cm,NGI.869,"Presented, Mr C. Sullivan, in memory of Mr J. Quinn, 1926"
Penelope Bringing the Bow of Odysseus to her Suitors,http://onlinecollection.nationalgallery.ie/objects/11681/penelope-bringing-the-bow-of-odysseus-to-her-suitors?ctx=2d91c168-6033-4b9c-a02d-148f07cd39a3&idx=2522,1620s,Oil on canvas,196 x 236 cm,NGI.87,"Purchased, 1856"
"Portrait of Standish James O'Grady (1832-1915), Author",http://onlinecollection.nationalgallery.ie/objects/11682/portrait-of-standish-james-ogrady-18321915-author?ctx=2d91c168-6033-4b9c-a02d-148f07cd39a3&idx=2523,1904,Oil on canvas,112 x 87 cm,NGI.870,"Presented, Mr C. Sullivan, in memory of Mr J. Quinn, 1926"
"Portrait of AE (George W. Russell) (1867-1935), Poet",http://onlinecollection.nationalgallery.ie/objects/11683/portrait-of-ae-george-w-russell-18671935-poet?ctx=2d91c168-6033-4b9c-a02d-148f07cd39a3&idx=2524,1903,Oil on canvas,112 x 87 cm,NGI.871,"Presented, Mr C. Sullivan, in memory of Mr J. Quinn, 1926"
"Portrait of William Butler Yeats (1865-1939), Poet",http://onlinecollection.nationalgallery.ie/objects/11684/portrait-of-william-butler-yeats-18651939-poet?ctx=2d91c168-6033-4b9c-a02d-148f07cd39a3&idx=2525,1900,Oil on canvas,77 x 64 cm,NGI.872,"Presented, Mr C. Sullivan, in memory of Mr J. Quinn, 1926"
"Portrait of George Moore (1852-1933), Novelist",http://onlinecollection.nationalgallery.ie/objects/11685/portrait-of-george-moore-18521933-novelist?ctx=2d91c168-6033-4b9c-a02d-148f07cd39a3&idx=2526,1905,Oil on canvas,77 x 64 cm,NGI.873,"Presented, Mr C. Sullivan, in memory of Mr J. Quinn, 1926"
"Portrait of Douglas Hyde, First President of Ireland (1860-1949), Poet and Scholar",http://onlinecollection.nationalgallery.ie/objects/11686/portrait-of-douglas-hyde-first-president-of-ireland-18601?ctx=2d91c168-6033-4b9c-a02d-148f07cd39a3&idx=2527,1906,Oil on canvas,107 x 86 cm,NGI.874,"Presented, Mr C. Sullivan, in memory of Mr J. Quinn, 1926"
Portrait of a Lady,http://onlinecollection.nationalgallery.ie/objects/11687/portrait-of-a-lady?ctx=2d91c168-6033-4b9c-a02d-148f07cd39a3&idx=2528,N/A,Oil on canvas,138 x 84 cm,NGI.875,"Presented, Messrs F. and O. Ashcroft, 1926"
"Samuel Kyle, Protestant Bishop of Cork (1771-1848), and Scholar",http://onlinecollection.nationalgallery.ie/objects/11688/samuel-kyle-protestant-bishop-of-cork-17711848-and-scho?ctx=2d91c168-6033-4b9c-a02d-148f07cd39a3&idx=2529,18th century,Oil on canvas,91 x 72 cm,NGI.876,"Presented, Executors of the late Mr M. White, 1926"
Flower-piece,http://onlinecollection.nationalgallery.ie/objects/11689/flowerpiece?ctx=2d91c168-6033-4b9c-a02d-148f07cd39a3&idx=2530,N/A,Oil on canvas,94 x 74 cm,NGI.877,"Presented, Executors of the late Mr J. Poe, 1926"
"Presumed Portrait of Thomas Girtin (1775-1802), Artist",http://onlinecollection.nationalgallery.ie/objects/11690/presumed-portrait-of-thomas-girtin-17751802-artist?ctx=2d91c168-6033-4b9c-a02d-148f07cd39a3&idx=2531,c.1800,Oil on canvas,22 x 19 cm,NGI.878,"Presented, Executors of the late Mr J. T. Bennett-Poë, 1926"
The Levite and his Concubine at Gibeah,http://onlinecollection.nationalgallery.ie/objects/11691/the-levite-and-his-concubine-at-gibeah?ctx=2d91c168-6033-4b9c-a02d-148f07cd39a3&idx=2532,c.1650,Oil on canvas,103.6 x 136.5 cm,NGI.879,"Purchased, 1926"
Portrait of a Young Gentleman,http://onlinecollection.nationalgallery.ie/objects/11692/portrait-of-a-young-gentleman?ctx=2d91c168-6033-4b9c-a02d-148f07cd39a3&idx=2533,c.1580s,Oil on canvas,109 x 97 cm,NGI.88,"Purchased, 1856"
"Portrait of Sir Henry Sidney (1529-1586), Lord Deputy of Ireland",http://onlinecollection.nationalgallery.ie/objects/11693/portrait-of-sir-henry-sidney-15291586-lord-deputy-of-ire?ctx=2d91c168-6033-4b9c-a02d-148f07cd39a3&idx=2534,N/A,Oil on panel,58 x 48 cm,NGI.880,"Purchased, 1926"
